,A,B,C,D,Return,Beta,Risk,SharpeRatio,TreynorRatio,InformationRatio,DownRisk,SortioRatio,Efficient
2053,WIPRO,LT,VIDEOIND,HDFC,-0.3898069486954783,0.8636217025098349,0.012783807882573082,-35.88969365856358,-0.5312591697986577,-41.73708122788124,0.0069555321700417,-65.96288213166694,-30.49224083122088
2054,WIPRO,LT,VIDEOIND,SUNPHARMA,-0.3273563659388556,0.8305498867189861,0.014037124633449756,-28.23629313615685,-0.4772216242237132,-33.561591675073636,0.008340345115815304,-47.522777587137064,-23.320756528639915
2055,WIPRO,LT,VIDEOIND,ITC,-0.37427385748080777,0.7646112948674342,0.012367964091742784,-35.840487099792796,-0.5797375221322897,-41.88447936453501,0.006783050213874112,-65.35022497314431,-30.26155757766826
2056,WIPRO,LT,VIDEOIND,HINDZINC,-0.4309111504926881,0.8984632022275925,0.014175695313055651,-35.26537072451576,-0.5564069282450748,-40.53861324633106,0.007771036783161738,-64.33004558360787,-30.397884617047595
2057,WIPRO,LT,VIDEOIND,TCS,-0.4986615874436133,0.25789383370324503,0.021754672069015504,-26.09377818441657,-2.2011444759738374,-29.529908090854903,0.0066072023427186195,-85.91557485282667,-22.92204570409688
2058,WIPRO,LT,HINDZINC,ICICIBANK,0.07779960944006556,1.2817372713392456,0.011958699733384802,0.7358332959477111,0.006865376888721608,-5.5150034143695414,0.007419975322493797,1.1859351355777923,6.50569135228593
2059,WIPRO,LT,HINDZINC,EICHERMOT,-0.0026990292449826647,0.9697914236389903,0.01013368067446515,-7.075319575211196,-0.07393242247486918,-14.451896921827482,0.005881737718112062,-12.190109909898677,-0.2663424407859702
2060,WIPRO,LT,HINDZINC,HDFC,0.0663199278545443,1.0927661950806247,0.00938461693868832,-0.2855814108306375,-0.0024525576994610197,-8.250944279605426,0.005384213564813466,-0.4977648291981447,7.0668763880109715
2061,WIPRO,LT,HINDZINC,SUNPHARMA,0.128770510611167,1.059694379289776,0.01162257675137736,5.142621286977843,0.056403536509485076,-1.2889885789018731,0.006758809121541294,8.843349403176637,11.079342676391168
2062,WIPRO,LT,HINDZINC,ITC,0.08185301906921486,0.9937557874382239,0.008954572072358643,1.4353582689774869,0.012933780342903258,-6.912542523719259,0.005355889246642676,2.3997917950360397,9.140919120175745
2063,WIPRO,LT,HINDZINC,VIDEOIND,-0.5829534426760289,0.8220817047039958,0.016267710773465914,-40.076532694411014,-0.7930518815167839,-44.67164016478907,0.008814606873098159,-73.96284962699423,-35.835001666422414
2064,WIPRO,LT,HINDZINC,TCS,-0.04253471089359068,0.48703832627403476,0.0196628928150915,-5.672344956688494,-0.22900602452964877,-9.474017477820782,0.005184671530060039,-21.512396734668183,-2.163197007357167
